year,year_month,product_category_name_english,order_items_count,distinct_orders,revenue,avg_freight_ratio,avg_review_score,late_delivery_rate
2017,2017-04,computers_accessories,136,120,23180.46,0.21937832192250137,3.8296296296296295,0.05
2017,2017-04,consoles_games,17,15,4072.8,0.18465920814798084,4.176470588235294,0.0
2017,2017-04,cool_stuff,121,119,24393.33,0.1445754559452501,3.9916666666666667,0.09243697478991597
2017,2017-04,costruction_tools_garden,8,7,1680.57,0.2470471442703051,4.375,0.0
2017,2017-04,costruction_tools_tools,1,1,748.27,0.025752736311759124,5.0,0.0
2017,2017-04,drinks,7,2,329.17,0.49677161496823985,1.0,0.0
2017,2017-04,dvds_blu_ray,2,2,1466.34,0.26322871889081734,5.0,0.0
2017,2017-04,electronics,48,47,5611.49,0.2599949237431956,4.166666666666667,0.10638297872340426
2017,2017-04,fashio_female_clothing,1,1,87.74,0.2603145657624801,2.0,0.0
2017,2017-04,fashion_bags_accessories,50,46,3996.73,0.24205873254530802,4.12,0.043478260869565216
2017,2017-04,fashion_male_clothing,7,6,504.63,0.24028422605819527,3.4285714285714284,0.16666666666666666
2017,2017-04,fashion_shoes,23,20,1946.37,0.25265088053516194,4.681818181818182,0.0
2017,2017-04,fashion_sport,4,4,244.47,0.2364426810126494,3.5,0.0
2017,2017-04,fashion_underwear_beach,4,4,159.67,0.4967969874140757,3.5,0.0
2017,2017-04,fixed_telephony,11,7,3168.77,0.19904685583805906,3.090909090909091,0.14285714285714285
2017,2017-04,food,8,8,611.15,0.24255288342434958,4.25,0.125
2017,2017-04,food_drink,3,2,80.78,0.40828199193499815,3.6666666666666665,0.0
2017,2017-04,furniture_bedroom,5,4,1091.28,0.18951518956943678,1.6,0.25
2017,2017-04,furniture_decor,203,169,26128.42,0.2233580369104881,3.9137055837563453,0.07692307692307693
2017,2017-04,furniture_living_room,12,11,2526.11,0.20224769643718868,3.75,0.2727272727272727
2017,2017-04,furniture_mattress_and_upholstery,1,1,130.8,0.1636085626911315,4.0,0.0
2017,2017-04,garden_tools,119,99,23468.07,0.19617284998278448,3.8907563025210083,0.050505050505050504
2017,2017-04,health_beauty,190,176,26438.78,0.22461013351835887,4.010695187165775,0.05113636363636364
2017,2017-04,home_appliances,10,9,635.57,0.2591433992459069,4.4,0.1111111111111111
2017,2017-04,home_appliances_2,2,2,946.97,0.15536141456910282,2.5,0.5
2017,2017-04,home_comfort_2,1,1,23.86,0.45934618608549876,5.0,0.0
2017,2017-04,home_confort,17,16,2712.95,0.16389052103787877,4.294117647058823,0.0
2017,2017-04,home_construction,5,5,1696.94,0.08609434614733584,4.2,0.0
2017,2017-04,housewares,183,144,18356.26,0.2680039459538659,3.9065934065934065,0.0625
2017,2017-04,kitchen_dining_laundry_garden_furniture,9,8,1282.1,0.34096854372729246,3.888888888888889,0.0
2017,2017-04,la_cuisine,1,1,34.81,0.31054294742889976,1.0,0.0
2017,2017-04,luggage_accessories,49,47,8639.74,0.17593359467206934,4.425531914893617,0.0425531914893617
2017,2017-04,market_place,20,20,4538.03,0.1836316438866755,3.75,0.0
2017,2017-04,music,2,2,88.84,0.33107455925570717,5.0,0.0
2017,2017-04,musical_instruments,16,16,4114.27,0.16545125110142792,3.8125,0.125
2017,2017-04,office_furniture,58,48,11164.03,0.1695320047959961,3.9482758620689653,0.10416666666666667
2017,2017-04,perfumery,105,101,21648.98,0.1379065471606187,4.048076923076923,0.10891089108910891
2017,2017-04,pet_shop,51,46,7126.84,0.19902858774241172,4.04,0.08695652173913043
2017,2017-04,signaling_and_security,3,3,183.65,0.3279720691640385,4.666666666666667,0.0
2017,2017-04,small_appliances,21,21,24109.81,0.11791992904345852,3.761904761904762,0.09523809523809523
2017,2017-04,sports_leisure,218,198,29121.39,0.21447956729329726,4.0233644859813085,0.05555555555555555
2017,2017-04,stationery,36,36,5197.2,0.16552046081972951,4.388888888888889,0.05555555555555555
2017,2017-04,tablets_printing_image,11,9,1312.23,0.17957430637869162,4.0,0.0
2017,2017-04,telephony,145,141,9523.97,0.3549099107356386,4.188811188811189,0.07092198581560284
2017,2017-04,toys,113,103,14983.58,0.17820513885089603,4.218181818181818,0.038834951456310676
2017,2017-04,watches_gifts,98,90,25223.15,0.16759589326045576,3.9587628865979383,0.05555555555555555
2017,2017-04,Unknown,73,65,10483.25,0.2426900408067495,4.123287671232877,0.1076923076923077
2017,2017-05,agro_industry_and_commerce,4,4,1763.74,0.1425019336484681,4.75,0.0
2017,2017-05,air_conditioning,8,7,1186.69,0.18528289983185353,4.25,0.0
2017,2017-05,art,8,8,7365.95,0.30070807191755117,4.428571428571429,0.0
2017,2017-05,arts_and_craftmanship,1,1,29.66,0.2585974376264329,5.0,0.0
2017,2017-05,audio,17,17,2333.19,0.12103160251198852,4.176470588235294,0.058823529411764705
2017,2017-05,auto,125,106,21631.7,0.21392115135495857,4.008064516129032,0.04716981132075472
2017,2017-05,baby,108,102,11727.82,0.21554932097693885,4.132075471698113,0.0196078431372549
2017,2017-05,bed_bath_table,373,329,40139.63,0.19941187788134843,4.13091922005571,0.0486322188449848
2017,2017-05,books_general_interest,20,19,2199.17,0.19456772329893654,4.45,0.0
2017,2017-05,books_technical,3,3,316.46,0.21836391798928323,4.666666666666667,0.3333333333333333
2017,2017-05,cine_photo,1,1,91.71,0.35666775706029874,5.0,0.0
2017,2017-05,computers_accessories,320,260,51306.32,0.19408212044694664,4.261006289308176,0.03076923076923077
2017,2017-05,consoles_games,29,26,2947.24,0.22939448564878662,4.137931034482759,0.0
2017,2017-05,construction_tools_construction,1,1,149.4,0.33072289156626505,5.0,0.0
2017,2017-05,cool_stuff,249,236,38750.09,0.1529277429694056,4.17741935483871,0.025423728813559324
2017,2017-05,costruction_tools_garden,8,6,1806.55,0.2449299948533099,3.0,0.6666666666666666
2017,2017-05,costruction_tools_tools,2,2,834.3,0.07756310534058257,5.0,0.0
2017,2017-05,drinks,1,1,112.95,0.20318725099601595,5.0,0.0
2017,2017-05,dvds_blu_ray,4,4,150.6,0.39999453300053966,4.75,0.0
2017,2017-05,electronics,68,62,7958.75,0.2818339943278083,3.791044776119403,0.04838709677419355
2017,2017-05,fashio_female_clothing,5,5,485.63,0.15992142683963875,3.4,0.0
2017,2017-05,fashion_bags_accessories,111,97,9224.98,0.24889964930249805,4.092592592592593,0.030927835051546393
2017,2017-05,fashion_childrens_clothes,1,1,124.52,0.1166077738515901,5.0,0.0
2017,2017-05,fashion_male_clothing,4,3,676.21,0.10563537135878974,2.5,0.0
2017,2017-05,fashion_shoes,22,22,2014.89,0.25094780077957773,4.2727272727272725,0.0
